Tool/Question,1-1,1-2,1-3,1-4,1-5,2-1,3-1,3-2,4-1,4-2,4-3,4-4,5-1,5-2,5-3,5-4
DraCor:get_api_info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_corpora,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DraCor:get_corpus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DraCor:get_corpus_metadata,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
DraCor:get_corpus_metadata_csv,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
DraCor:get_play_metadata,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
DraCor:get_play_metrics,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
DraCor:get_play_tei,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DraCor:get_play_plaintext,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DraCor:get_play_characters,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
DraCor:get_play_network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_play_character_relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_spoken_text,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_spoken_text_by_characters,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DraCor:get_spoken_text_of_single_character,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DraCor:get_stage_directions,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DraCor:get_stage_directions_with_speakers,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DraCor:get_plays_with_characters_by_wikidata_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_author_info_from_wikidata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_wikidata_mixnmatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_links_to_playdata_helper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_minimal_data_of_plays_of_corpus_helper,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
DraCor:get_playnames_in_corpus_helper,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
DraCor:get_corpus_metadata_paged_helper,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
DraCor:get_corpus_contents_paged_helper,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
DraCor:get_plays_in_corpus_by_author_helper,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
DraCor:get_plays_in_corpus_by_title_helper,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
DraCor:get_plays_in_corpus_by_year_normalized,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DraCor:dts_entrypoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_corpus_via_dts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_play_via_dts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_citable_units_via_dts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_plaintext_of_citable_unit_via_dts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_api_feature_list,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_api_feature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_openapi_specification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_table_of_contents_from_odd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_odd_section,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_tei_element_documentation_from_odd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_schematron_rule_to_check_api_feature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_dracor_based_research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:get_readme_form_dracor_api_github_repo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:validate_xml_file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:add_corpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:load_corpus_from_repository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:add_play_to_corpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:remove_play_from_corpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DraCor:remove_corpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0